country_name_short,party_id,party_name_short,yt_page_created,month,yt_videos_n_monthly
AUS,1411,LPA,2008-09-29,2015-07-01,1
AUS,1411,LPA,2008-09-29,2016-06-01,1
AUS,1411,LPA,2008-09-29,2017-09-01,1
AUS,1411,LPA,2008-09-29,2018-06-01,3
AUS,1411,LPA,2008-09-29,2018-07-01,2
AUS,1411,LPA,2008-09-29,2019-01-01,3
AUS,1411,LPA,2008-09-29,2019-02-01,2
AUS,1411,LPA,2008-09-29,2019-03-01,1
AUS,1411,LPA,2008-09-29,2019-04-01,24
AUS,1411,LPA,2008-09-29,2019-05-01,43
AUS,1411,LPA,2008-09-29,2019-09-01,2
AUS,1411,LPA,2008-09-29,2019-10-01,2
AUS,1411,LPA,2008-09-29,2019-12-01,4
AUS,1411,LPA,2008-09-29,2020-06-01,2
AUS,1411,LPA,2008-09-29,2020-09-01,2
AUS,1411,LPA,2008-09-29,2021-05-01,4
AUS,1411,LPA,2008-09-29,2021-06-01,7
AUS,1411,LPA,2008-09-29,2022-02-01,1
AUS,1411,LPA,2008-09-29,2022-03-01,1
AUS,1411,LPA,2008-09-29,2022-04-01,18
AUS,1411,LPA,2008-09-29,2022-05-01,33
AUS,1411,LPA,2008-09-29,2023-05-01,4
AUS,1411,LPA,2008-09-29,2023-06-01,1
AUS,1411,LPA,2008-09-29,2023-09-01,1
AUS,154,LNPQ,2008-07-27,2016-02-01,2
AUS,154,LNPQ,2008-07-27,2016-03-01,1
AUS,154,LNPQ,2008-07-27,2016-04-01,1
AUS,154,LNPQ,2008-07-27,2016-06-01,1
AUS,154,LNPQ,2008-07-27,2016-07-01,2
AUS,154,LNPQ,2008-07-27,2016-11-01,1
AUS,154,LNPQ,2008-07-27,2017-08-01,1
AUS,154,LNPQ,2008-07-27,2017-10-01,2
AUS,154,LNPQ,2008-07-27,2017-11-01,8
AUS,154,LNPQ,2008-07-27,2018-01-01,1
AUS,154,LNPQ,2008-07-27,2018-02-01,1
AUS,154,LNPQ,2008-07-27,2018-04-01,1
AUS,154,LNPQ,2008-07-27,2018-06-01,4
AUS,154,LNPQ,2008-07-27,2018-07-01,2
AUS,154,LNPQ,2008-07-27,2018-10-01,2
AUS,154,LNPQ,2008-07-27,2018-11-01,7
AUS,154,LNPQ,2008-07-27,2019-03-01,1
AUS,154,LNPQ,2008-07-27,2019-04-01,1
AUS,154,LNPQ,2008-07-27,2019-05-01,1
AUS,154,LNPQ,2008-07-27,2019-08-01,1
AUS,154,LNPQ,2008-07-27,2019-10-01,4
AUS,154,LNPQ,2008-07-27,2019-11-01,3
AUS,154,LNPQ,2008-07-27,2020-01-01,1
AUS,154,LNPQ,2008-07-27,2020-02-01,3
AUS,154,LNPQ,2008-07-27,2020-03-01,4
AUS,154,LNPQ,2008-07-27,2020-04-01,1
AUS,154,LNPQ,2008-07-27,2020-05-01,4
AUS,154,LNPQ,2008-07-27,2020-06-01,1
AUS,154,LNPQ,2008-07-27,2020-10-01,9
AUS,154,LNPQ,2008-07-27,2020-11-01,2
AUS,154,LNPQ,2008-07-27,2021-05-01,1
AUS,154,LNPQ,2008-07-27,2021-08-01,1
AUS,154,LNPQ,2008-07-27,2021-09-01,1
AUS,154,LNPQ,2008-07-27,2022-04-01,3
AUS,154,LNPQ,2008-07-27,2022-05-01,4
AUS,154,LNPQ,2008-07-27,2022-06-01,1
AUS,154,LNPQ,2008-07-27,2022-07-01,4
AUS,154,LNPQ,2008-07-27,2022-08-01,5
AUS,154,LNPQ,2008-07-27,2022-09-01,4
AUS,154,LNPQ,2008-07-27,2022-10-01,1
AUS,154,LNPQ,2008-07-27,2023-06-01,1
AUS,154,LNPQ,2008-07-27,2023-07-01,1
AUS,154,LNPQ,2008-07-27,2023-09-01,1
AUS,154,LNPQ,2008-07-27,2023-12-01,1
AUS,184,NCP|NPA,2007-08-27,2011-05-01,1
AUS,184,NCP|NPA,2007-08-27,2011-07-01,3
AUS,184,NCP|NPA,2007-08-27,2013-03-01,4
AUS,184,NCP|NPA,2007-08-27,2013-04-01,3
AUS,184,NCP|NPA,2007-08-27,2013-05-01,2
AUS,184,NCP|NPA,2007-08-27,2013-06-01,6
AUS,184,NCP|NPA,2007-08-27,2013-07-01,2
AUS,184,NCP|NPA,2007-08-27,2013-08-01,4
AUS,184,NCP|NPA,2007-08-27,2013-09-01,10
AUS,184,NCP|NPA,2007-08-27,2013-12-01,1
AUS,184,NCP|NPA,2007-08-27,2014-03-01,4
AUS,184,NCP|NPA,2007-08-27,2014-05-01,3
AUS,184,NCP|NPA,2007-08-27,2014-09-01,4
AUS,184,NCP|NPA,2007-08-27,2015-02-01,2
AUS,184,NCP|NPA,2007-08-27,2015-10-01,3
AUS,184,NCP|NPA,2007-08-27,2016-05-01,1
AUS,184,NCP|NPA,2007-08-27,2016-06-01,11
AUS,184,NCP|NPA,2007-08-27,2016-12-01,1
AUS,184,NCP|NPA,2007-08-27,2017-05-01,1
AUS,184,NCP|NPA,2007-08-27,2017-06-01,1
AUS,184,NCP|NPA,2007-08-27,2019-04-01,2
AUS,184,NCP|NPA,2007-08-27,2019-05-01,2
AUS,184,NCP|NPA,2007-08-27,2020-01-01,1
AUS,184,NCP|NPA,2007-08-27,2020-04-01,2
AUS,184,NCP|NPA,2007-08-27,2020-10-01,1
AUS,184,NCP|NPA,2007-08-27,2021-06-01,2
AUS,184,NCP|NPA,2007-08-27,2022-03-01,1
AUS,184,NCP|NPA,2007-08-27,2022-04-01,4
AUS,184,NCP|NPA,2007-08-27,2022-05-01,3
AUS,184,NCP|NPA,2007-08-27,2023-04-01,1
AUS,215,CouLP,2022-05-19,2022-05-01,2
AUS,2258,Katter,2018-02-16,2018-09-01,1
AUS,2258,Katter,2018-02-16,2019-01-01,1
AUS,2259,PUP,2013-05-15,2013-05-01,21
AUS,2259,PUP,2013-05-15,2013-06-01,13
AUS,2259,PUP,2013-05-15,2013-07-01,1
AUS,2259,PUP,2013-05-15,2013-08-01,32
AUS,2259,PUP,2013-05-15,2013-09-01,2
AUS,2259,PUP,2013-05-15,2014-01-01,13
AUS,2259,PUP,2013-05-15,2014-02-01,29
AUS,2259,PUP,2013-05-15,2014-03-01,22
AUS,2259,PUP,2013-05-15,2014-05-01,6
AUS,2259,PUP,2013-05-15,2014-06-01,6
AUS,2259,PUP,2013-05-15,2014-07-01,3
AUS,2259,PUP,2013-05-15,2014-08-01,2
AUS,2259,PUP,2013-05-15,2014-09-01,6
AUS,2259,PUP,2013-05-15,2014-10-01,2
AUS,2259,PUP,2013-05-15,2014-11-01,7
AUS,2259,PUP,2013-05-15,2014-12-01,3
AUS,2259,PUP,2013-05-15,2015-01-01,28
AUS,2259,PUP,2013-05-15,2015-02-01,3
AUS,2259,PUP,2013-05-15,2015-03-01,8
AUS,2259,PUP,2013-05-15,2015-04-01,1
AUS,2259,PUP,2013-05-15,2015-05-01,3
AUS,2259,PUP,2013-05-15,2015-06-01,10
AUS,2259,PUP,2013-05-15,2015-07-01,2
