country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,1253,ALP,2010-02-05,2018-11-01,6
AUS,1253,ALP,2010-02-05,2018-12-01,272
AUS,1253,ALP,2010-02-05,2019-01-01,19
AUS,1253,ALP,2010-02-05,2019-02-01,250
AUS,1253,ALP,2010-02-05,2019-03-01,62
AUS,1253,ALP,2010-02-05,2019-04-01,286
AUS,1253,ALP,2010-02-05,2019-05-01,299
AUS,1253,ALP,2010-02-05,2019-06-01,22
AUS,1253,ALP,2010-02-05,2019-07-01,61
AUS,1253,ALP,2010-02-05,2019-08-01,46
AUS,1253,ALP,2010-02-05,2019-09-01,37
AUS,1253,ALP,2010-02-05,2019-10-01,41
AUS,1253,ALP,2010-02-05,2019-11-01,20
AUS,1253,ALP,2010-02-05,2019-12-01,7
AUS,1253,ALP,2010-02-05,2020-01-01,10
AUS,1253,ALP,2010-02-05,2020-02-01,27
AUS,1253,ALP,2010-02-05,2020-03-01,9
AUS,1253,ALP,2010-02-05,2020-04-01,34
AUS,1253,ALP,2010-02-05,2020-05-01,29
AUS,1253,ALP,2010-02-05,2020-06-01,5
AUS,1253,ALP,2010-02-05,2020-07-01,16
AUS,1253,ALP,2010-02-05,2020-08-01,6
AUS,1253,ALP,2010-02-05,2020-09-01,10
AUS,1253,ALP,2010-02-05,2020-10-01,127
AUS,1253,ALP,2010-02-05,2020-11-01,52
AUS,1253,ALP,2010-02-05,2020-12-01,26
AUS,1253,ALP,2010-02-05,2021-01-01,18
AUS,1253,ALP,2010-02-05,2021-02-01,22
AUS,1253,ALP,2010-02-05,2021-03-01,154
AUS,1253,ALP,2010-02-05,2021-04-01,11
AUS,1253,ALP,2010-02-05,2021-05-01,20
AUS,1253,ALP,2010-02-05,2021-06-01,16
AUS,1253,ALP,2010-02-05,2021-07-01,45
AUS,1253,ALP,2010-02-05,2021-08-01,10
AUS,1253,ALP,2010-02-05,2021-09-01,12
AUS,1253,ALP,2010-02-05,2021-10-01,5
AUS,1253,ALP,2010-02-05,2021-11-01,4
AUS,1253,ALP,2010-02-05,2021-12-01,3
AUS,1253,ALP,2010-02-05,2022-01-01,3
AUS,1253,ALP,2010-02-05,2022-02-01,4
AUS,1253,ALP,2010-02-05,2022-03-01,4
AUS,1253,ALP,2010-02-05,2022-04-01,290
AUS,1253,ALP,2010-02-05,2022-05-01,380
AUS,1253,ALP,2010-02-05,2022-07-01,2
AUS,1253,ALP,2010-02-05,2022-09-01,9
AUS,1253,ALP,2010-02-05,2022-10-01,19
AUS,1253,ALP,2010-02-05,2022-11-01,2
AUS,1253,ALP,2010-02-05,2023-02-01,1
AUS,1253,ALP,2010-02-05,2023-03-01,8
AUS,1253,ALP,2010-02-05,2023-04-01,1
AUS,1253,ALP,2010-02-05,2023-05-01,13
AUS,1253,ALP,2010-02-05,2023-06-01,5
AUS,1253,ALP,2010-02-05,2023-07-01,6
AUS,1253,ALP,2010-02-05,2023-08-01,4
AUS,1253,ALP,2010-02-05,2023-09-01,18
AUS,1253,ALP,2010-02-05,2023-10-01,1
AUS,1253,ALP,2010-02-05,2023-11-01,4
AUS,1253,ALP,2010-02-05,2023-12-01,4
AUS,1411,LPA,2009-04-04,2009-04-01,64
AUS,1411,LPA,2009-04-04,2009-05-01,58
AUS,1411,LPA,2009-04-04,2009-06-01,71
AUS,1411,LPA,2009-04-04,2009-07-01,66
AUS,1411,LPA,2009-04-04,2009-08-01,90
AUS,1411,LPA,2009-04-04,2009-09-01,102
AUS,1411,LPA,2009-04-04,2009-10-01,93
AUS,1411,LPA,2009-04-04,2009-11-01,83
AUS,1411,LPA,2009-04-04,2009-12-01,51
AUS,1411,LPA,2009-04-04,2010-01-01,67
AUS,1411,LPA,2009-04-04,2010-02-01,109
AUS,1411,LPA,2009-04-04,2010-03-01,160
AUS,1411,LPA,2009-04-04,2010-04-01,193
AUS,1411,LPA,2009-04-04,2010-05-01,167
AUS,1411,LPA,2009-04-04,2010-06-01,165
AUS,1411,LPA,2009-04-04,2010-07-01,154
AUS,1411,LPA,2009-04-04,2010-08-01,186
AUS,1411,LPA,2009-04-04,2010-09-01,123
AUS,1411,LPA,2009-04-04,2010-10-01,173
AUS,1411,LPA,2009-04-04,2010-11-01,200
AUS,1411,LPA,2009-04-04,2010-12-01,115
AUS,1411,LPA,2009-04-04,2011-01-01,52
AUS,1411,LPA,2009-04-04,2011-02-01,125
AUS,1411,LPA,2009-04-04,2011-03-01,127
AUS,1411,LPA,2009-04-04,2011-04-01,97
AUS,1411,LPA,2009-04-04,2011-05-01,215
AUS,1411,LPA,2009-04-04,2011-06-01,146
AUS,1411,LPA,2009-04-04,2011-07-01,129
AUS,1411,LPA,2009-04-04,2011-08-01,131
AUS,1411,LPA,2009-04-04,2011-09-01,111
AUS,1411,LPA,2009-04-04,2011-10-01,159
AUS,1411,LPA,2009-04-04,2011-11-01,120
AUS,1411,LPA,2009-04-04,2011-12-01,92
