country_name_short,party_id,party_name_short,tw_page_created,week,tw_posts_n_weekly
AUS,1253,ALP,2010-02-05,2012-02-26,86
AUS,1253,ALP,2010-02-05,2012-03-04,117
AUS,1253,ALP,2010-02-05,2012-03-11,96
AUS,1253,ALP,2010-02-05,2012-03-18,115
AUS,1253,ALP,2010-02-05,2012-03-25,98
AUS,1253,ALP,2010-02-05,2012-04-01,48
AUS,1253,ALP,2010-02-05,2012-04-08,13
AUS,1253,ALP,2010-02-05,2012-04-15,15
AUS,1253,ALP,2010-02-05,2012-04-22,8
AUS,1253,ALP,2010-02-05,2012-04-29,20
AUS,1253,ALP,2010-02-05,2012-05-06,80
AUS,1253,ALP,2010-02-05,2012-05-13,66
AUS,1253,ALP,2010-02-05,2012-05-20,15
AUS,1253,ALP,2010-02-05,2012-05-27,16
AUS,1253,ALP,2010-02-05,2012-06-03,15
AUS,1253,ALP,2010-02-05,2012-06-10,14
AUS,1253,ALP,2010-02-05,2012-06-17,12
AUS,1253,ALP,2010-02-05,2012-06-24,23
AUS,1253,ALP,2010-02-05,2012-07-01,14
AUS,1253,ALP,2010-02-05,2012-07-08,23
AUS,1253,ALP,2010-02-05,2012-07-15,6
AUS,1253,ALP,2010-02-05,2012-07-22,13
AUS,1253,ALP,2010-02-05,2012-07-29,11
AUS,1253,ALP,2010-02-05,2012-08-05,1
AUS,1253,ALP,2010-02-05,2012-08-12,13
AUS,1253,ALP,2010-02-05,2012-08-19,11
AUS,1253,ALP,2010-02-05,2012-08-26,20
AUS,1253,ALP,2010-02-05,2012-09-02,17
AUS,1253,ALP,2010-02-05,2012-09-09,23
AUS,1253,ALP,2010-02-05,2012-09-16,25
AUS,1253,ALP,2010-02-05,2012-09-23,1
AUS,1253,ALP,2010-02-05,2012-10-07,8
AUS,1253,ALP,2010-02-05,2012-10-14,2
AUS,1253,ALP,2010-02-05,2012-10-21,3
AUS,1253,ALP,2010-02-05,2012-10-28,25
AUS,1253,ALP,2010-02-05,2012-11-04,20
AUS,1253,ALP,2010-02-05,2012-11-11,9
AUS,1253,ALP,2010-02-05,2012-11-18,7
AUS,1253,ALP,2010-02-05,2012-11-25,11
AUS,1253,ALP,2010-02-05,2012-12-02,6
AUS,1253,ALP,2010-02-05,2012-12-09,12
AUS,1253,ALP,2010-02-05,2012-12-16,14
AUS,1253,ALP,2010-02-05,2012-12-23,4
AUS,1253,ALP,2010-02-05,2013-01-06,13
AUS,1253,ALP,2010-02-05,2013-01-13,1
AUS,1253,ALP,2010-02-05,2013-01-20,8
AUS,1253,ALP,2010-02-05,2013-01-27,36
AUS,1253,ALP,2010-02-05,2013-02-03,9
AUS,1253,ALP,2010-02-05,2013-02-10,11
AUS,1253,ALP,2010-02-05,2013-02-17,11
AUS,1253,ALP,2010-02-05,2013-02-24,16
AUS,1253,ALP,2010-02-05,2013-03-03,17
AUS,1253,ALP,2010-02-05,2013-03-10,20
AUS,1253,ALP,2010-02-05,2013-03-17,14
AUS,1253,ALP,2010-02-05,2013-03-24,21
AUS,1253,ALP,2010-02-05,2013-03-31,11
AUS,1253,ALP,2010-02-05,2013-04-07,19
AUS,1253,ALP,2010-02-05,2013-04-14,4
AUS,1253,ALP,2010-02-05,2013-04-21,7
AUS,1253,ALP,2010-02-05,2013-04-28,7
AUS,1253,ALP,2010-02-05,2013-05-05,4
AUS,1253,ALP,2010-02-05,2013-05-12,44
AUS,1253,ALP,2010-02-05,2013-05-19,3
AUS,1253,ALP,2010-02-05,2013-05-26,6
AUS,1253,ALP,2010-02-05,2013-06-02,18
AUS,1253,ALP,2010-02-05,2013-06-16,7
AUS,1253,ALP,2010-02-05,2013-06-23,37
AUS,1253,ALP,2010-02-05,2013-06-30,27
AUS,1253,ALP,2010-02-05,2013-07-07,47
AUS,1253,ALP,2010-02-05,2013-07-14,2
AUS,1253,ALP,2010-02-05,2013-07-21,21
AUS,1253,ALP,2010-02-05,2013-07-28,8
AUS,1253,ALP,2010-02-05,2013-08-04,90
AUS,1253,ALP,2010-02-05,2013-08-11,84
AUS,1253,ALP,2010-02-05,2013-08-18,109
AUS,1253,ALP,2010-02-05,2013-08-25,80
AUS,1253,ALP,2010-02-05,2013-09-01,139
AUS,1253,ALP,2010-02-05,2013-09-08,16
AUS,1253,ALP,2010-02-05,2013-09-15,43
AUS,1253,ALP,2010-02-05,2013-09-22,23
AUS,1253,ALP,2010-02-05,2013-09-29,24
AUS,1253,ALP,2010-02-05,2013-10-06,15
AUS,1253,ALP,2010-02-05,2013-10-13,38
AUS,1253,ALP,2010-02-05,2013-10-20,3
AUS,1253,ALP,2010-02-05,2013-10-27,29
AUS,1253,ALP,2010-02-05,2013-11-03,41
AUS,1253,ALP,2010-02-05,2013-11-10,15
AUS,1253,ALP,2010-02-05,2013-11-17,11
AUS,1253,ALP,2010-02-05,2013-11-24,40
AUS,1253,ALP,2010-02-05,2013-12-01,33
AUS,1253,ALP,2010-02-05,2013-12-08,14
AUS,1253,ALP,2010-02-05,2013-12-15,12
AUS,1253,ALP,2010-02-05,2014-01-05,4
AUS,1253,ALP,2010-02-05,2014-01-12,7
AUS,1253,ALP,2010-02-05,2014-01-19,32
AUS,1253,ALP,2010-02-05,2014-01-26,13
AUS,1253,ALP,2010-02-05,2014-02-02,31
AUS,1253,ALP,2010-02-05,2014-02-09,7
AUS,1253,ALP,2010-02-05,2014-02-16,2
AUS,1253,ALP,2010-02-05,2014-02-23,13
AUS,1253,ALP,2010-02-05,2014-03-02,20
AUS,1253,ALP,2010-02-05,2014-03-09,2
AUS,1253,ALP,2010-02-05,2014-03-16,12
AUS,1253,ALP,2010-02-05,2014-03-23,10
AUS,1253,ALP,2010-02-05,2014-03-30,11
AUS,1253,ALP,2010-02-05,2014-04-06,2
AUS,1253,ALP,2010-02-05,2014-04-13,1
AUS,1253,ALP,2010-02-05,2014-04-20,36
AUS,1253,ALP,2010-02-05,2014-04-27,28
AUS,1253,ALP,2010-02-05,2014-05-04,3
AUS,1253,ALP,2010-02-05,2014-05-11,129
AUS,1253,ALP,2010-02-05,2014-05-18,35
AUS,1253,ALP,2010-02-05,2014-05-25,63
AUS,1253,ALP,2010-02-05,2014-06-01,33
AUS,1253,ALP,2010-02-05,2014-06-08,30
AUS,1253,ALP,2010-02-05,2014-06-15,43
AUS,1253,ALP,2010-02-05,2014-06-22,57
AUS,1253,ALP,2010-02-05,2014-06-29,29
AUS,1253,ALP,2010-02-05,2014-07-06,2
AUS,1253,ALP,2010-02-05,2014-07-13,42
AUS,1253,ALP,2010-02-05,2014-07-27,5
AUS,1253,ALP,2010-02-05,2014-08-03,6
AUS,1253,ALP,2010-02-05,2014-08-10,21
AUS,1253,ALP,2010-02-05,2014-08-24,26
AUS,1253,ALP,2010-02-05,2014-08-31,46
AUS,1253,ALP,2010-02-05,2014-09-07,3
AUS,1253,ALP,2010-02-05,2014-09-21,21
AUS,1253,ALP,2010-02-05,2014-09-28,8
AUS,1253,ALP,2010-02-05,2014-10-19,20
AUS,1253,ALP,2010-02-05,2014-10-26,50
AUS,1253,ALP,2010-02-05,2014-11-02,1
AUS,1253,ALP,2010-02-05,2014-11-09,5
AUS,1253,ALP,2010-02-05,2014-11-16,1
AUS,1253,ALP,2010-02-05,2014-11-23,56
AUS,1253,ALP,2010-02-05,2014-11-30,39
AUS,1253,ALP,2010-02-05,2014-12-07,7
AUS,1253,ALP,2010-02-05,2014-12-14,1
AUS,1253,ALP,2010-02-05,2015-01-04,3
AUS,1253,ALP,2010-02-05,2015-01-11,19
AUS,1253,ALP,2010-02-05,2015-01-18,29
AUS,1253,ALP,2010-02-05,2015-01-25,7
AUS,1253,ALP,2010-02-05,2015-02-01,16
