country_name_short,party_id,party_name_short,fb_page_created,week,fb_posts_n_weekly,fb_videos_n_weekly,fb_images_n_weekly
AUS,1253,ALP,2010-02-05,2011-11-06,5,0,0
AUS,1253,ALP,2010-02-05,2011-11-13,5,0,0
AUS,1253,ALP,2010-02-05,2011-11-20,5,0,0
AUS,1253,ALP,2010-02-05,2011-11-27,17,0,1
AUS,1253,ALP,2010-02-05,2011-12-04,5,0,1
AUS,1253,ALP,2010-02-05,2011-12-11,2,0,0
AUS,1253,ALP,2010-02-05,2011-12-18,3,0,0
AUS,1253,ALP,2010-02-05,2011-12-25,1,0,0
AUS,1253,ALP,2010-02-05,2012-01-01,2,0,0
AUS,1253,ALP,2010-02-05,2012-01-08,3,0,0
AUS,1253,ALP,2010-02-05,2012-01-15,3,0,0
AUS,1253,ALP,2010-02-05,2012-01-22,4,0,0
AUS,1253,ALP,2010-02-05,2012-01-29,16,0,1
AUS,1253,ALP,2010-02-05,2012-02-05,11,0,2
AUS,1253,ALP,2010-02-05,2012-02-12,11,0,0
AUS,1253,ALP,2010-02-05,2012-02-19,10,0,3
AUS,1253,ALP,2010-02-05,2012-02-26,14,0,0
AUS,1253,ALP,2010-02-05,2012-03-04,9,0,0
AUS,1253,ALP,2010-02-05,2012-03-11,8,0,0
AUS,1253,ALP,2010-02-05,2012-03-18,9,0,1
AUS,1253,ALP,2010-02-05,2012-03-25,8,0,0
AUS,1253,ALP,2010-02-05,2012-04-01,1,0,0
AUS,1253,ALP,2010-02-05,2012-04-08,5,0,0
AUS,1253,ALP,2010-02-05,2012-04-15,4,0,0
AUS,1253,ALP,2010-02-05,2012-04-22,1,0,0
AUS,1253,ALP,2010-02-05,2012-04-29,3,0,2
AUS,1253,ALP,2010-02-05,2012-05-06,6,0,4
AUS,1253,ALP,2010-02-05,2012-05-13,5,1,0
AUS,1253,ALP,2010-02-05,2012-05-27,5,0,1
AUS,1253,ALP,2010-02-05,2012-06-03,2,0,0
AUS,1253,ALP,2010-02-05,2012-06-10,2,0,1
AUS,1253,ALP,2010-02-05,2012-06-17,2,0,1
AUS,1253,ALP,2010-02-05,2012-06-24,2,0,0
AUS,1253,ALP,2010-02-05,2012-07-01,2,0,0
AUS,1253,ALP,2010-02-05,2012-07-08,3,0,1
AUS,1253,ALP,2010-02-05,2012-07-15,1,0,1
AUS,1253,ALP,2010-02-05,2012-07-29,3,0,0
AUS,1253,ALP,2010-02-05,2012-08-05,1,0,1
AUS,1253,ALP,2010-02-05,2012-08-12,2,0,0
AUS,1253,ALP,2010-02-05,2012-08-19,3,0,1
AUS,1253,ALP,2010-02-05,2012-08-26,1,0,0
AUS,1253,ALP,2010-02-05,2012-09-02,2,0,1
AUS,1253,ALP,2010-02-05,2012-09-09,1,0,1
AUS,1253,ALP,2010-02-05,2012-09-16,1,0,0
AUS,1253,ALP,2010-02-05,2012-09-23,1,0,0
AUS,1253,ALP,2010-02-05,2012-09-30,3,0,1
AUS,1253,ALP,2010-02-05,2012-10-07,2,0,1
AUS,1253,ALP,2010-02-05,2012-10-21,2,0,0
AUS,1253,ALP,2010-02-05,2012-10-28,1,0,0
AUS,1253,ALP,2010-02-05,2012-11-04,1,0,0
AUS,1253,ALP,2010-02-05,2012-11-11,3,1,1
AUS,1253,ALP,2010-02-05,2012-11-18,2,0,0
AUS,1253,ALP,2010-02-05,2012-11-25,2,0,2
AUS,1253,ALP,2010-02-05,2012-12-02,2,0,1
AUS,1253,ALP,2010-02-05,2012-12-09,1,0,0
AUS,1253,ALP,2010-02-05,2013-01-06,3,0,0
AUS,1253,ALP,2010-02-05,2013-01-13,4,0,2
AUS,1253,ALP,2010-02-05,2013-01-20,3,0,2
AUS,1253,ALP,2010-02-05,2013-01-27,2,0,1
AUS,1253,ALP,2010-02-05,2013-02-03,3,0,3
AUS,1253,ALP,2010-02-05,2013-02-10,4,0,3
AUS,1253,ALP,2010-02-05,2013-02-17,4,1,3
AUS,1253,ALP,2010-02-05,2013-02-24,4,0,2
AUS,1253,ALP,2010-02-05,2013-03-03,4,0,3
AUS,1253,ALP,2010-02-05,2013-03-10,8,0,5
AUS,1253,ALP,2010-02-05,2013-03-17,7,1,4
AUS,1253,ALP,2010-02-05,2013-03-24,5,0,5
AUS,1253,ALP,2010-02-05,2013-03-31,3,0,3
AUS,1253,ALP,2010-02-05,2013-04-07,4,0,3
AUS,1253,ALP,2010-02-05,2013-04-14,5,0,4
AUS,1253,ALP,2010-02-05,2013-04-21,3,0,2
AUS,1253,ALP,2010-02-05,2013-04-28,7,0,2
AUS,1253,ALP,2010-02-05,2013-05-05,7,0,5
AUS,1253,ALP,2010-02-05,2013-05-12,5,0,2
AUS,1253,ALP,2010-02-05,2013-05-19,1,0,0
AUS,1253,ALP,2010-02-05,2013-05-26,7,1,5
AUS,1253,ALP,2010-02-05,2013-06-09,2,0,1
AUS,1253,ALP,2010-02-05,2013-06-16,2,0,0
AUS,1253,ALP,2010-02-05,2013-06-23,8,0,0
AUS,1253,ALP,2010-02-05,2013-06-30,3,0,0
AUS,1253,ALP,2010-02-05,2013-07-07,6,0,5
AUS,1253,ALP,2010-02-05,2013-07-14,2,0,2
AUS,1253,ALP,2010-02-05,2013-07-21,7,0,4
AUS,1253,ALP,2010-02-05,2013-07-28,7,1,5
AUS,1253,ALP,2010-02-05,2013-08-04,6,0,2
AUS,1253,ALP,2010-02-05,2013-08-11,7,2,2
AUS,1253,ALP,2010-02-05,2013-08-18,5,3,0
AUS,1253,ALP,2010-02-05,2013-08-25,7,2,4
AUS,1253,ALP,2010-02-05,2013-09-01,4,0,0
