country_name_short,party_id,party_name_short,insta_page_created,day,insta_posts_n_daily,insta_type_img_n_daily,insta_type_vid_n_daily,insta_type_car_n_daily
AUS,1253,ALP,2016-05-23,2019-03-26,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-03-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-03-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-03-29,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-03-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-04-08,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-09,3,2,1,0
AUS,1253,ALP,2016-05-23,2019-04-10,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-04-11,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-13,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-14,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-15,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-16,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-17,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-18,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-04-20,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-22,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-23,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-04-26,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-04-29,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-04-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-01,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-05-02,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-05-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-05,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-05-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-08,2,1,0,1
AUS,1253,ALP,2016-05-23,2019-05-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-10,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-11,2,1,0,1
AUS,1253,ALP,2016-05-23,2019-05-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-05-13,2,2,0,0
AUS,1253,ALP,2016-05-23,2019-05-14,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-16,3,3,0,0
AUS,1253,ALP,2016-05-23,2019-05-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-05-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-06-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2019-10-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-01-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-10,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-02-21,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-02-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-10,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-15,1,0,1,0
AUS,1253,ALP,2016-05-23,2020-03-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-25,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-26,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-29,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-03-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-07,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-04-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-04-11,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-04-26,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-04-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-05-11,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-12,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-14,2,1,1,0
AUS,1253,ALP,2016-05-23,2020-05-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-16,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-05-29,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-26,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-29,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-06-30,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-07-04,1,1,0,0
