country_name_short,party_id,party_name_short,yt_page_created,day,yt_videos_n_daily
AUS,1253,ALP,2007-06-11,2011-05-03,1
AUS,1253,ALP,2007-06-11,2011-05-10,1
AUS,1253,ALP,2007-06-11,2011-05-12,1
AUS,1253,ALP,2007-06-11,2011-05-13,8
AUS,1253,ALP,2007-06-11,2011-05-18,3
AUS,1253,ALP,2007-06-11,2011-05-19,1
AUS,1253,ALP,2007-06-11,2011-05-23,1
AUS,1253,ALP,2007-06-11,2011-05-24,2
AUS,1253,ALP,2007-06-11,2011-05-25,2
AUS,1253,ALP,2007-06-11,2011-05-27,1
AUS,1253,ALP,2007-06-11,2011-05-31,3
AUS,1253,ALP,2007-06-11,2011-06-02,1
AUS,1253,ALP,2007-06-11,2011-06-07,2
AUS,1253,ALP,2007-06-11,2011-06-08,1
AUS,1253,ALP,2007-06-11,2011-06-20,1
AUS,1253,ALP,2007-06-11,2011-06-22,1
AUS,1253,ALP,2007-06-11,2011-06-23,2
AUS,1253,ALP,2007-06-11,2011-06-24,2
AUS,1253,ALP,2007-06-11,2011-06-26,1
AUS,1253,ALP,2007-06-11,2011-07-01,1
AUS,1253,ALP,2007-06-11,2011-07-04,1
AUS,1253,ALP,2007-06-11,2011-07-05,1
AUS,1253,ALP,2007-06-11,2011-07-06,1
AUS,1253,ALP,2007-06-11,2011-07-10,3
AUS,1253,ALP,2007-06-11,2011-07-12,1
AUS,1253,ALP,2007-06-11,2011-07-15,1
AUS,1253,ALP,2007-06-11,2011-07-18,1
AUS,1253,ALP,2007-06-11,2011-07-25,1
AUS,1253,ALP,2007-06-11,2011-07-26,3
AUS,1253,ALP,2007-06-11,2011-07-28,1
AUS,1253,ALP,2007-06-11,2011-08-02,1
AUS,1253,ALP,2007-06-11,2011-08-04,2
AUS,1253,ALP,2007-06-11,2011-08-08,2
AUS,1253,ALP,2007-06-11,2011-08-09,1
AUS,1253,ALP,2007-06-11,2011-08-10,2
AUS,1253,ALP,2007-06-11,2011-08-12,1
AUS,1253,ALP,2007-06-11,2011-08-15,1
AUS,1253,ALP,2007-06-11,2011-08-17,2
AUS,1253,ALP,2007-06-11,2011-08-18,2
AUS,1253,ALP,2007-06-11,2011-08-19,1
AUS,1253,ALP,2007-06-11,2011-08-22,1
AUS,1253,ALP,2007-06-11,2011-08-23,1
AUS,1253,ALP,2007-06-11,2011-08-26,1
AUS,1253,ALP,2007-06-11,2011-08-28,2
AUS,1253,ALP,2007-06-11,2011-09-05,2
AUS,1253,ALP,2007-06-11,2011-09-06,1
AUS,1253,ALP,2007-06-11,2011-09-12,1
AUS,1253,ALP,2007-06-11,2011-09-13,1
AUS,1253,ALP,2007-06-11,2011-09-14,1
AUS,1253,ALP,2007-06-11,2011-09-18,1
AUS,1253,ALP,2007-06-11,2011-10-06,2
AUS,1253,ALP,2007-06-11,2011-10-07,1
AUS,1253,ALP,2007-06-11,2011-10-12,1
AUS,1253,ALP,2007-06-11,2011-10-18,1
AUS,1253,ALP,2007-06-11,2011-10-20,1
AUS,1253,ALP,2007-06-11,2011-10-25,1
AUS,1253,ALP,2007-06-11,2011-10-26,1
AUS,1253,ALP,2007-06-11,2011-10-30,1
AUS,1253,ALP,2007-06-11,2011-11-08,1
AUS,1253,ALP,2007-06-11,2011-11-10,1
AUS,1253,ALP,2007-06-11,2011-11-12,1
AUS,1253,ALP,2007-06-11,2011-11-24,1
AUS,1253,ALP,2007-06-11,2011-11-25,1
AUS,1253,ALP,2007-06-11,2011-12-02,4
AUS,1253,ALP,2007-06-11,2011-12-13,2
AUS,1253,ALP,2007-06-11,2011-12-24,1
AUS,1253,ALP,2007-06-11,2012-01-01,1
AUS,1253,ALP,2007-06-11,2012-02-03,1
AUS,1253,ALP,2007-06-11,2012-02-06,1
AUS,1253,ALP,2007-06-11,2012-02-07,1
AUS,1253,ALP,2007-06-11,2012-02-08,1
AUS,1253,ALP,2007-06-11,2012-02-09,1
AUS,1253,ALP,2007-06-11,2012-02-12,1
AUS,1253,ALP,2007-06-11,2012-02-15,1
AUS,1253,ALP,2007-06-11,2012-02-27,1
AUS,1253,ALP,2007-06-11,2012-02-29,2
AUS,1253,ALP,2007-06-11,2012-03-02,1
AUS,1253,ALP,2007-06-11,2012-03-07,1
AUS,1253,ALP,2007-06-11,2012-03-19,1
AUS,1253,ALP,2007-06-11,2012-04-18,1
