country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
AUT,2255,NEOS,2012-10-22,2023,332
AUT,2651,PILZ,2017-08-23,2017,150
AUT,2651,PILZ,2017-08-23,2018,46
AUT,2651,PILZ,2017-08-23,2019,62
AUT,50,FPO,2012-09-17,2012,19
AUT,50,FPO,2012-09-17,2013,268
AUT,50,FPO,2012-09-17,2014,142
AUT,50,FPO,2012-09-17,2015,112
AUT,50,FPO,2012-09-17,2016,400
AUT,50,FPO,2012-09-17,2017,357
AUT,50,FPO,2012-09-17,2018,500
AUT,50,FPO,2012-09-17,2019,630
AUT,50,FPO,2012-09-17,2020,881
AUT,50,FPO,2012-09-17,2021,1041
AUT,50,FPO,2012-09-17,2022,889
AUT,50,FPO,2012-09-17,2023,831
AUT,973,SPO,2012-03-14,2014,1
AUT,973,SPO,2012-03-14,2015,36
AUT,973,SPO,2012-03-14,2016,135
AUT,973,SPO,2012-03-14,2017,299
AUT,973,SPO,2012-03-14,2018,180
AUT,973,SPO,2012-03-14,2019,41
AUT,973,SPO,2012-03-14,2020,8
AUT,973,SPO,2012-03-14,2021,2
AUT,973,SPO,2012-03-14,2022,69
AUT,973,SPO,2012-03-14,2023,63
BEL,1110,PVV|VLD,2007-02-13,2014,7
BEL,1110,PVV|VLD,2007-02-13,2015,2
BEL,1110,PVV|VLD,2007-02-13,2016,21
BEL,1110,PVV|VLD,2007-02-13,2017,11
BEL,1110,PVV|VLD,2007-02-13,2018,8
BEL,1110,PVV|VLD,2007-02-13,2019,133
BEL,1110,PVV|VLD,2007-02-13,2020,1
BEL,1110,PVV|VLD,2007-02-13,2021,40
BEL,1110,PVV|VLD,2007-02-13,2022,45
BEL,1110,PVV|VLD,2007-02-13,2023,54
BEL,1113,SPa+Spi,2012-12-07,2019,13
BEL,1113,SPa+Spi,2012-12-07,2020,26
BEL,1113,SPa+Spi,2012-12-07,2021,9
BEL,1113,SPa+Spi,2012-12-07,2023,39
BEL,1192,PSC-CDH,2022-02-14,2022,75
BEL,1192,PSC-CDH,2022-02-14,2023,78
BEL,1378,PS,2013-10-23,2013,29
BEL,1378,PS,2013-10-23,2016,12
BEL,1378,PS,2013-10-23,2017,23
BEL,1378,PS,2013-10-23,2018,62
BEL,1378,PS,2013-10-23,2019,10
BEL,1378,PS,2013-10-23,2020,28
BEL,1378,PS,2013-10-23,2021,23
BEL,1378,PS,2013-10-23,2022,33
BEL,1378,PS,2013-10-23,2023,86
BEL,1594,AGL-Gr,2006-11-20,2007,32
BEL,1594,AGL-Gr,2006-11-20,2008,9
BEL,1594,AGL-Gr,2006-11-20,2009,40
BEL,1594,AGL-Gr,2006-11-20,2010,28
BEL,1594,AGL-Gr,2006-11-20,2011,42
BEL,1594,AGL-Gr,2006-11-20,2012,25
BEL,1594,AGL-Gr,2006-11-20,2013,38
BEL,1594,AGL-Gr,2006-11-20,2014,48
BEL,1594,AGL-Gr,2006-11-20,2015,17
BEL,1594,AGL-Gr,2006-11-20,2016,40
BEL,1594,AGL-Gr,2006-11-20,2017,11
BEL,1594,AGL-Gr,2006-11-20,2018,25
BEL,1594,AGL-Gr,2006-11-20,2019,15
BEL,1594,AGL-Gr,2006-11-20,2020,8
BEL,1594,AGL-Gr,2006-11-20,2021,5
BEL,1594,AGL-Gr,2006-11-20,2022,50
BEL,1594,AGL-Gr,2006-11-20,2023,23
BEL,161,Ecolo,2017-04-26,2017,68
BEL,161,Ecolo,2017-04-26,2018,69
BEL,161,Ecolo,2017-04-26,2019,29
BEL,161,Ecolo,2017-04-26,2020,9
BEL,161,Ecolo,2017-04-26,2021,34
BEL,161,Ecolo,2017-04-26,2022,12
BEL,161,Ecolo,2017-04-26,2023,19
BEL,256,PA-PTB,2009-10-19,2009,1
BEL,256,PA-PTB,2009-10-19,2010,9
BEL,256,PA-PTB,2009-10-19,2011,32
BEL,256,PA-PTB,2009-10-19,2012,40
BEL,256,PA-PTB,2009-10-19,2013,56
BEL,256,PA-PTB,2009-10-19,2014,87
BEL,256,PA-PTB,2009-10-19,2015,19
BEL,256,PA-PTB,2009-10-19,2016,34
BEL,256,PA-PTB,2009-10-19,2017,59
BEL,256,PA-PTB,2009-10-19,2018,82
BEL,256,PA-PTB,2009-10-19,2019,100
BEL,256,PA-PTB,2009-10-19,2020,187
BEL,256,PA-PTB,2009-10-19,2021,167
