country_name_short,party_id,party_name_short,insta_page_created,week,insta_posts_n_weekly,insta_type_img_n_weekly,insta_type_vid_n_weekly,insta_type_car_n_weekly
AUS,1253,ALP,2016-05-23,2020-10-18,7,5,2,0
AUS,1253,ALP,2016-05-23,2020-10-25,11,10,1,0
AUS,1253,ALP,2016-05-23,2020-11-01,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-11-08,5,5,0,0
AUS,1253,ALP,2016-05-23,2020-11-15,5,4,1,0
AUS,1253,ALP,2016-05-23,2020-11-22,7,7,0,0
AUS,1253,ALP,2016-05-23,2020-11-29,6,5,1,0
AUS,1253,ALP,2016-05-23,2020-12-06,6,4,1,1
AUS,1253,ALP,2016-05-23,2020-12-13,5,5,0,0
AUS,1253,ALP,2016-05-23,2020-12-20,9,9,0,0
AUS,1253,ALP,2016-05-23,2020-12-27,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-01-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-17,6,6,0,0
AUS,1253,ALP,2016-05-23,2021-01-24,5,5,0,0
AUS,1253,ALP,2016-05-23,2021-01-31,8,7,1,0
AUS,1253,ALP,2016-05-23,2021-02-07,9,8,0,1
AUS,1253,ALP,2016-05-23,2021-02-14,7,6,1,0
AUS,1253,ALP,2016-05-23,2021-02-21,7,5,0,2
AUS,1253,ALP,2016-05-23,2021-02-28,7,7,0,0
AUS,1253,ALP,2016-05-23,2021-03-07,9,9,0,0
AUS,1253,ALP,2016-05-23,2021-03-14,3,1,0,2
AUS,1253,ALP,2016-05-23,2021-03-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-28,11,11,0,0
AUS,1253,ALP,2016-05-23,2021-04-04,9,9,0,0
AUS,1253,ALP,2016-05-23,2021-04-11,3,2,0,1
AUS,1253,ALP,2016-05-23,2021-04-18,9,8,1,0
AUS,1253,ALP,2016-05-23,2021-04-25,6,6,0,0
AUS,1253,ALP,2016-05-23,2021-05-02,9,7,0,2
AUS,1253,ALP,2016-05-23,2021-05-09,16,16,0,0
AUS,1253,ALP,2016-05-23,2021-05-16,13,12,0,1
AUS,1253,ALP,2016-05-23,2021-05-23,16,16,0,0
AUS,1253,ALP,2016-05-23,2021-05-30,13,13,0,0
AUS,1253,ALP,2016-05-23,2021-06-06,13,12,0,1
AUS,1253,ALP,2016-05-23,2021-06-13,4,4,0,0
AUS,1253,ALP,2016-05-23,2021-06-20,14,14,0,0
AUS,1253,ALP,2016-05-23,2021-06-27,16,16,0,0
AUS,1253,ALP,2016-05-23,2021-07-04,13,11,2,0
AUS,1253,ALP,2016-05-23,2021-07-11,17,15,1,1
AUS,1253,ALP,2016-05-23,2021-07-18,17,17,0,0
AUS,1253,ALP,2016-05-23,2021-07-25,8,6,1,1
AUS,1253,ALP,2016-05-23,2021-08-01,13,11,1,1
AUS,1253,ALP,2016-05-23,2021-08-08,12,10,2,0
AUS,1253,ALP,2016-05-23,2021-08-15,23,19,4,0
AUS,1253,ALP,2016-05-23,2021-08-22,21,20,1,0
AUS,1253,ALP,2016-05-23,2021-08-29,15,12,1,2
AUS,1253,ALP,2016-05-23,2021-09-05,13,8,3,2
AUS,1253,ALP,2016-05-23,2021-09-12,18,15,2,1
AUS,1253,ALP,2016-05-23,2021-09-19,18,15,3,0
AUS,1253,ALP,2016-05-23,2021-09-26,8,7,1,0
AUS,1253,ALP,2016-05-23,2021-10-03,12,12,0,0
AUS,1253,ALP,2016-05-23,2021-10-10,8,8,0,0
AUS,1253,ALP,2016-05-23,2021-10-17,13,12,1,0
AUS,1253,ALP,2016-05-23,2021-10-24,15,14,0,1
AUS,1253,ALP,2016-05-23,2021-10-31,12,12,0,0
AUS,1253,ALP,2016-05-23,2021-11-07,8,7,1,0
AUS,1253,ALP,2016-05-23,2021-11-14,11,11,0,0
AUS,1253,ALP,2016-05-23,2021-11-21,17,14,1,2
AUS,1253,ALP,2016-05-23,2021-11-28,17,16,0,1
AUS,1253,ALP,2016-05-23,2021-12-05,16,15,0,1
AUS,1253,ALP,2016-05-23,2021-12-12,13,13,0,0
AUS,1253,ALP,2016-05-23,2021-12-19,5,4,1,0
AUS,1253,ALP,2016-05-23,2021-12-26,16,14,2,0
AUS,1253,ALP,2016-05-23,2022-01-02,14,14,0,0
AUS,1253,ALP,2016-05-23,2022-01-09,14,11,2,1
AUS,1253,ALP,2016-05-23,2022-01-16,11,10,1,0
AUS,1253,ALP,2016-05-23,2022-01-23,9,8,0,1
AUS,1253,ALP,2016-05-23,2022-01-30,11,11,0,0
AUS,1253,ALP,2016-05-23,2022-02-06,10,8,1,1
AUS,1253,ALP,2016-05-23,2022-02-13,15,15,0,0
AUS,1253,ALP,2016-05-23,2022-02-20,10,10,0,0
AUS,1253,ALP,2016-05-23,2022-02-27,12,10,0,2
AUS,1253,ALP,2016-05-23,2022-03-06,19,19,0,0
AUS,1253,ALP,2016-05-23,2022-03-13,22,19,2,1
AUS,1253,ALP,2016-05-23,2022-03-20,22,20,1,1
AUS,1253,ALP,2016-05-23,2022-03-27,33,26,4,3
AUS,1253,ALP,2016-05-23,2022-04-03,33,26,5,2
AUS,1253,ALP,2016-05-23,2022-04-10,47,31,11,5
AUS,1253,ALP,2016-05-23,2022-04-17,72,54,17,1
AUS,1253,ALP,2016-05-23,2022-04-24,75,62,7,6
AUS,1253,ALP,2016-05-23,2022-05-01,90,72,13,5
AUS,1253,ALP,2016-05-23,2022-05-08,80,62,14,4
AUS,1253,ALP,2016-05-23,2022-05-15,79,58,9,12
AUS,1253,ALP,2016-05-23,2022-05-22,1,1,0,0
AUS,1253,ALP,2016-05-23,2022-06-05,7,6,0,1
AUS,1253,ALP,2016-05-23,2022-06-12,11,11,0,0
AUS,1253,ALP,2016-05-23,2022-06-19,11,11,0,0
AUS,1253,ALP,2016-05-23,2022-06-26,14,12,0,2
AUS,1253,ALP,2016-05-23,2022-07-03,14,14,0,0
AUS,1253,ALP,2016-05-23,2022-07-10,17,16,0,1
AUS,1253,ALP,2016-05-23,2022-07-17,19,18,0,1
AUS,1253,ALP,2016-05-23,2022-07-24,19,15,0,4
