country_name_short,party_id,party_name_short,yt_page_created,week,yt_videos_n_weekly
AUS,1253,ALP,2007-06-11,2013-05-12,3
AUS,1253,ALP,2007-06-11,2013-06-16,1
AUS,1253,ALP,2007-06-11,2013-06-23,2
AUS,1253,ALP,2007-06-11,2013-07-07,1
AUS,1253,ALP,2007-06-11,2013-07-14,1
AUS,1253,ALP,2007-06-11,2013-07-21,3
AUS,1253,ALP,2007-06-11,2013-07-28,1
AUS,1253,ALP,2007-06-11,2013-08-04,11
AUS,1253,ALP,2007-06-11,2013-08-11,7
AUS,1253,ALP,2007-06-11,2013-08-18,9
AUS,1253,ALP,2007-06-11,2013-08-25,7
AUS,1253,ALP,2007-06-11,2013-09-01,18
AUS,1253,ALP,2007-06-11,2013-12-01,2
AUS,1253,ALP,2007-06-11,2014-02-02,3
AUS,1253,ALP,2007-06-11,2014-03-23,1
AUS,1253,ALP,2007-06-11,2014-03-30,1
AUS,1253,ALP,2007-06-11,2014-04-20,2
AUS,1253,ALP,2007-06-11,2014-05-11,2
AUS,1253,ALP,2007-06-11,2014-05-18,1
AUS,1253,ALP,2007-06-11,2014-07-13,8
AUS,1253,ALP,2007-06-11,2014-08-10,3
AUS,1253,ALP,2007-06-11,2014-09-21,1
AUS,1253,ALP,2007-06-11,2014-09-28,1
AUS,1253,ALP,2007-06-11,2014-10-05,1
AUS,1253,ALP,2007-06-11,2014-10-12,1
AUS,1253,ALP,2007-06-11,2014-10-19,11
AUS,1253,ALP,2007-06-11,2014-10-26,10
AUS,1253,ALP,2007-06-11,2014-11-02,17
AUS,1253,ALP,2007-06-11,2014-11-16,1
AUS,1253,ALP,2007-06-11,2014-12-21,2
AUS,1253,ALP,2007-06-11,2015-03-22,1
AUS,1253,ALP,2007-06-11,2015-05-10,1
AUS,1253,ALP,2007-06-11,2015-05-24,1
AUS,1253,ALP,2007-06-11,2015-05-31,1
AUS,1253,ALP,2007-06-11,2015-06-07,1
AUS,1253,ALP,2007-06-11,2015-06-14,1
AUS,1253,ALP,2007-06-11,2015-07-12,1
AUS,1253,ALP,2007-06-11,2015-08-02,1
AUS,1253,ALP,2007-06-11,2015-09-13,3
AUS,1253,ALP,2007-06-11,2016-03-13,1
AUS,1253,ALP,2007-06-11,2016-05-01,19
AUS,1253,ALP,2007-06-11,2016-05-08,1
AUS,1253,ALP,2007-06-11,2016-05-15,10
AUS,1253,ALP,2007-06-11,2016-05-22,15
AUS,1253,ALP,2007-06-11,2016-05-29,17
AUS,1253,ALP,2007-06-11,2016-06-05,6
AUS,1253,ALP,2007-06-11,2016-06-12,7
AUS,1253,ALP,2007-06-11,2016-06-19,8
AUS,1253,ALP,2007-06-11,2016-06-26,5
AUS,1253,ALP,2007-06-11,2017-06-25,6
AUS,1253,ALP,2007-06-11,2018-02-18,1
AUS,1253,ALP,2007-06-11,2018-03-04,1
AUS,1253,ALP,2007-06-11,2018-05-06,1
AUS,1253,ALP,2007-06-11,2018-06-10,1
AUS,1253,ALP,2007-06-11,2018-06-17,10
AUS,1253,ALP,2007-06-11,2018-06-24,2
AUS,1253,ALP,2007-06-11,2018-07-01,2
AUS,1253,ALP,2007-06-11,2018-07-15,1
AUS,1253,ALP,2007-06-11,2018-08-12,1
AUS,1253,ALP,2007-06-11,2018-08-26,1
AUS,1253,ALP,2007-06-11,2018-10-07,1
AUS,1253,ALP,2007-06-11,2018-10-14,1
AUS,1253,ALP,2007-06-11,2018-12-09,2
AUS,1253,ALP,2007-06-11,2018-12-16,24
AUS,1253,ALP,2007-06-11,2019-01-27,1
AUS,1253,ALP,2007-06-11,2019-02-03,1
AUS,1253,ALP,2007-06-11,2019-02-17,2
AUS,1253,ALP,2007-06-11,2019-02-24,1
AUS,1253,ALP,2007-06-11,2019-03-17,1
AUS,1253,ALP,2007-06-11,2019-03-24,2
AUS,1253,ALP,2007-06-11,2019-03-31,8
AUS,1253,ALP,2007-06-11,2019-04-07,13
AUS,1253,ALP,2007-06-11,2019-04-14,8
AUS,1253,ALP,2007-06-11,2019-04-21,5
AUS,1253,ALP,2007-06-11,2019-04-28,10
AUS,1253,ALP,2007-06-11,2019-05-05,10
AUS,1253,ALP,2007-06-11,2019-05-12,9
AUS,1253,ALP,2007-06-11,2020-05-03,1
AUS,1253,ALP,2007-06-11,2020-05-24,1
AUS,1253,ALP,2007-06-11,2021-02-14,1
AUS,1253,ALP,2007-06-11,2021-03-28,3
AUS,1253,ALP,2007-06-11,2021-06-13,1
AUS,1253,ALP,2007-06-11,2021-07-04,1
AUS,1253,ALP,2007-06-11,2021-08-22,1
AUS,1253,ALP,2007-06-11,2021-08-29,1
AUS,1253,ALP,2007-06-11,2021-09-05,1
AUS,1253,ALP,2007-06-11,2021-09-12,2
AUS,1253,ALP,2007-06-11,2021-10-03,1
AUS,1253,ALP,2007-06-11,2021-11-28,3
AUS,1253,ALP,2007-06-11,2022-01-23,1
AUS,1253,ALP,2007-06-11,2022-02-06,1
AUS,1253,ALP,2007-06-11,2022-04-03,1
AUS,1253,ALP,2007-06-11,2022-04-10,2
AUS,1253,ALP,2007-06-11,2022-04-17,1
AUS,1253,ALP,2007-06-11,2022-05-08,2
AUS,1253,ALP,2007-06-11,2022-05-15,1
AUS,1411,LPA,2008-09-29,2010-06-20,1
AUS,1411,LPA,2008-09-29,2010-06-27,1
AUS,1411,LPA,2008-09-29,2010-07-25,2
AUS,1411,LPA,2008-09-29,2010-08-01,1
AUS,1411,LPA,2008-09-29,2011-06-12,1
AUS,1411,LPA,2008-09-29,2012-02-19,1
AUS,1411,LPA,2008-09-29,2012-04-22,1
AUS,1411,LPA,2008-09-29,2012-08-26,1
AUS,1411,LPA,2008-09-29,2013-03-17,1
AUS,1411,LPA,2008-09-29,2013-06-23,2
AUS,1411,LPA,2008-09-29,2013-06-30,2
AUS,1411,LPA,2008-09-29,2013-08-25,1
AUS,1411,LPA,2008-09-29,2015-06-21,1
AUS,1411,LPA,2008-09-29,2015-07-19,1
AUS,1411,LPA,2008-09-29,2016-06-26,1
AUS,1411,LPA,2008-09-29,2017-09-24,1
AUS,1411,LPA,2008-09-29,2018-06-10,3
AUS,1411,LPA,2008-09-29,2018-07-08,1
AUS,1411,LPA,2008-09-29,2018-07-22,1
AUS,1411,LPA,2008-09-29,2019-01-20,2
AUS,1411,LPA,2008-09-29,2019-01-27,1
AUS,1411,LPA,2008-09-29,2019-02-10,2
AUS,1411,LPA,2008-09-29,2019-03-03,1
AUS,1411,LPA,2008-09-29,2019-03-31,2
AUS,1411,LPA,2008-09-29,2019-04-07,3
AUS,1411,LPA,2008-09-29,2019-04-14,9
AUS,1411,LPA,2008-09-29,2019-04-21,8
AUS,1411,LPA,2008-09-29,2019-04-28,10
AUS,1411,LPA,2008-09-29,2019-05-05,26
AUS,1411,LPA,2008-09-29,2019-05-12,8
AUS,1411,LPA,2008-09-29,2019-05-26,1
AUS,1411,LPA,2008-09-29,2019-09-15,2
AUS,1411,LPA,2008-09-29,2019-10-13,1
AUS,1411,LPA,2008-09-29,2019-10-27,1
AUS,1411,LPA,2008-09-29,2019-12-08,4
AUS,1411,LPA,2008-09-29,2020-06-21,2
AUS,1411,LPA,2008-09-29,2020-09-27,2
AUS,1411,LPA,2008-09-29,2021-05-16,4
AUS,1411,LPA,2008-09-29,2021-05-30,7
AUS,1411,LPA,2008-09-29,2022-02-06,1
AUS,1411,LPA,2008-09-29,2022-03-27,1
AUS,1411,LPA,2008-09-29,2022-04-03,3
AUS,1411,LPA,2008-09-29,2022-04-10,6
AUS,1411,LPA,2008-09-29,2022-04-17,4
AUS,1411,LPA,2008-09-29,2022-04-24,5
AUS,1411,LPA,2008-09-29,2022-05-01,8
AUS,1411,LPA,2008-09-29,2022-05-08,14
AUS,1411,LPA,2008-09-29,2022-05-15,11
AUS,1411,LPA,2008-09-29,2023-05-14,4
AUS,1411,LPA,2008-09-29,2023-06-11,1
AUS,1411,LPA,2008-09-29,2023-09-17,1
AUS,154,LNPQ,2008-07-27,2016-02-14,2
AUS,154,LNPQ,2008-07-27,2016-03-06,1
AUS,154,LNPQ,2008-07-27,2016-04-17,1
AUS,154,LNPQ,2008-07-27,2016-06-26,2
AUS,154,LNPQ,2008-07-27,2016-07-03,1
AUS,154,LNPQ,2008-07-27,2016-11-13,1
AUS,154,LNPQ,2008-07-27,2017-07-30,1
AUS,154,LNPQ,2008-07-27,2017-10-08,1
AUS,154,LNPQ,2008-07-27,2017-10-29,1
AUS,154,LNPQ,2008-07-27,2017-11-05,1
AUS,154,LNPQ,2008-07-27,2017-11-12,6
AUS,154,LNPQ,2008-07-27,2017-11-19,1
AUS,154,LNPQ,2008-07-27,2018-01-07,1
AUS,154,LNPQ,2008-07-27,2018-02-25,1
AUS,154,LNPQ,2008-07-27,2018-04-01,1
AUS,154,LNPQ,2008-07-27,2018-06-17,1
AUS,154,LNPQ,2008-07-27,2018-06-24,3
AUS,154,LNPQ,2008-07-27,2018-07-22,2
AUS,154,LNPQ,2008-07-27,2018-10-14,2
AUS,154,LNPQ,2008-07-27,2018-11-04,4
AUS,154,LNPQ,2008-07-27,2018-11-11,1
AUS,154,LNPQ,2008-07-27,2018-11-18,1
AUS,154,LNPQ,2008-07-27,2018-11-25,1
AUS,154,LNPQ,2008-07-27,2019-03-10,1
AUS,154,LNPQ,2008-07-27,2019-04-14,1
AUS,154,LNPQ,2008-07-27,2019-05-05,1
AUS,154,LNPQ,2008-07-27,2019-08-04,1
AUS,154,LNPQ,2008-07-27,2019-09-29,2
AUS,154,LNPQ,2008-07-27,2019-10-13,1
AUS,154,LNPQ,2008-07-27,2019-10-20,1
AUS,154,LNPQ,2008-07-27,2019-11-03,1
AUS,154,LNPQ,2008-07-27,2019-11-10,1
AUS,154,LNPQ,2008-07-27,2019-11-17,1
AUS,154,LNPQ,2008-07-27,2020-01-26,1
AUS,154,LNPQ,2008-07-27,2020-02-02,2
AUS,154,LNPQ,2008-07-27,2020-02-16,1
AUS,154,LNPQ,2008-07-27,2020-03-08,1
AUS,154,LNPQ,2008-07-27,2020-03-15,2
AUS,154,LNPQ,2008-07-27,2020-03-22,1
AUS,154,LNPQ,2008-07-27,2020-03-29,1
AUS,154,LNPQ,2008-07-27,2020-05-03,1
AUS,154,LNPQ,2008-07-27,2020-05-10,2
AUS,154,LNPQ,2008-07-27,2020-05-17,1
AUS,154,LNPQ,2008-07-27,2020-05-31,1
AUS,154,LNPQ,2008-07-27,2020-10-04,1
AUS,154,LNPQ,2008-07-27,2020-10-18,8
AUS,154,LNPQ,2008-07-27,2020-11-15,2
AUS,154,LNPQ,2008-07-27,2021-05-09,1
AUS,154,LNPQ,2008-07-27,2021-08-15,1
AUS,154,LNPQ,2008-07-27,2021-08-29,1
AUS,154,LNPQ,2008-07-27,2022-04-03,1
AUS,154,LNPQ,2008-07-27,2022-04-10,1
AUS,154,LNPQ,2008-07-27,2022-04-17,1
AUS,154,LNPQ,2008-07-27,2022-05-08,3
AUS,154,LNPQ,2008-07-27,2022-05-15,1
AUS,154,LNPQ,2008-07-27,2022-05-29,1
AUS,154,LNPQ,2008-07-27,2022-07-10,2
AUS,154,LNPQ,2008-07-27,2022-07-24,2
AUS,154,LNPQ,2008-07-27,2022-07-31,3
AUS,154,LNPQ,2008-07-27,2022-08-14,1
AUS,154,LNPQ,2008-07-27,2022-08-21,1
AUS,154,LNPQ,2008-07-27,2022-09-04,4
AUS,154,LNPQ,2008-07-27,2022-10-16,1
AUS,154,LNPQ,2008-07-27,2023-06-18,1
AUS,154,LNPQ,2008-07-27,2023-07-09,1
AUS,154,LNPQ,2008-07-27,2023-09-03,1
AUS,154,LNPQ,2008-07-27,2023-12-10,1
AUS,184,NCP|NPA,2007-08-27,2011-05-15,1
AUS,184,NCP|NPA,2007-08-27,2011-07-03,3
AUS,184,NCP|NPA,2007-08-27,2013-03-17,4
AUS,184,NCP|NPA,2007-08-27,2013-03-31,1
AUS,184,NCP|NPA,2007-08-27,2013-04-21,2
AUS,184,NCP|NPA,2007-08-27,2013-05-05,1
AUS,184,NCP|NPA,2007-08-27,2013-05-26,1
AUS,184,NCP|NPA,2007-08-27,2013-06-02,4
AUS,184,NCP|NPA,2007-08-27,2013-06-23,2
AUS,184,NCP|NPA,2007-08-27,2013-07-07,2
AUS,184,NCP|NPA,2007-08-27,2013-08-04,1
AUS,184,NCP|NPA,2007-08-27,2013-08-11,1
AUS,184,NCP|NPA,2007-08-27,2013-08-25,2
AUS,184,NCP|NPA,2007-08-27,2013-09-01,10
AUS,184,NCP|NPA,2007-08-27,2013-12-15,1
AUS,184,NCP|NPA,2007-08-27,2014-03-16,1
AUS,184,NCP|NPA,2007-08-27,2014-03-23,3
AUS,184,NCP|NPA,2007-08-27,2014-05-04,2
AUS,184,NCP|NPA,2007-08-27,2014-05-11,1
AUS,184,NCP|NPA,2007-08-27,2014-09-21,4
AUS,184,NCP|NPA,2007-08-27,2015-02-22,2
AUS,184,NCP|NPA,2007-08-27,2015-10-25,3
AUS,184,NCP|NPA,2007-08-27,2016-05-22,1
AUS,184,NCP|NPA,2007-08-27,2016-05-29,1
